,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Date
1,24,657,3279,2/7/2021
2,14,609,3136,2/8/2021
3,64,439,3045,2/9/2021
4,12,372,2501,2/10/2021
5,8,357,2328,2/11/2021
6,10,353,2167,2/12/2021
7,4,134,1959,2/13/2021
8,50,156,1756,2/14/2021
9,31,170,1677,2/15/2021
10,31,139,1650,2/16/2021
11,10,136,1593,2/17/2021
12,188,296,1688,2/18/2021
13,136,391,1700,2/19/2021
14,41,422,1591,2/20/2021
15,29,408,1505,2/21/2021
16,9,387,1416,2/22/2021
17,9,373,1297,2/23/2021
18,92,441,1290,2/24/2021
19,17,300,1267,2/25/2021
20,5,188,1207,2/26/2021
21,54,193,1189,2/27/2021
22,64,228,1214,2/28/2021
23,75,291,1243,3/1/2021
24,262,495,1225,3/2/2021
25,133,517,1220,3/3/2021
26,129,604,1290,3/4/2021
27,111,685,1357,3/5/2021
28,45,707,1238,3/6/2021
