,28 Days Language: People Talking About This - bn_IN,28 Days Language: People Talking About This - en_GB,28 Days Language: People Talking About This - en_IN,28 Days Language: People Talking About This - en_US,Daily Logged-in Tab Views - about,Daily Logged-in Tab Views - community,Daily Logged-in Tab Views - events,Daily Logged-in Tab Views - home,Daily Logged-in Tab Views - photos,Daily Logged-in Tab Views - posts,Daily Logged-in Tab Views - profile_home,Daily Logged-in Tab Views - reviews,Daily Logged-in Tab Views - tab_about,Daily Logged-in Tab Views - tab_events,Daily Logged-in Tab Views - tab_events_admin_tool,Daily Logged-in Tab Views - tab_home,Daily Logged-in Tab Views - tab_pages_news_feed,Daily Logged-in Tab Views - tab_photos,Daily Logged-in Tab Views - tab_videos,Daily Logged-in Tab Views - timeline,Daily Logged-in Tab Views - videos,Daily External Referrers - https://www.google.com/,Daily External Referrers - https://www.google.com/search?q=aust+idc&amp;oq=aust+idc&amp;aqs=chrome..69i57.3545j0j4&amp;client=ms-android-samsung&amp;sourceid=chrome-mobile&amp;ie=UTF-8,Date
1,9,816.0,,1051.0,1,,,16.0,,,2.0,,,1.0,,7.0,,,1.0,,,1,,2/7/2021
2,9,778.0,,1010.0,,,1.0,20.0,,,1.0,,,,,4.0,,,,,,,,2/8/2021
3,9,754.0,,990.0,,,,30.0,1.0,1.0,4.0,,,,,2.0,,,,,,1,,2/9/2021
4,6,643.0,,866.0,,,1.0,15.0,2.0,,1.0,1.0,,,,5.0,,,,,,1,,2/10/2021
5,6,604.0,,821.0,,,,11.0,1.0,,2.0,,,,,3.0,,,,,,,,2/11/2021
6,6,581.0,,781.0,,,,23.0,,,,,,,,3.0,,,,,,1,,2/12/2021
7,5,534.0,,713.0,,,,9.0,,,,,,,,3.0,,,,,,,,2/13/2021
8,4,495.0,1.0,668.0,,1.0,2.0,31.0,1.0,3.0,1.0,,1.0,1.0,,12.0,,,,1.0,1.0,2,,2/14/2021
9,4,462.0,1.0,639.0,,1.0,1.0,31.0,1.0,,,,,,,5.0,,,,,,,,2/15/2021
10,4,433.0,1.0,610.0,,,,23.0,,,1.0,,,,,5.0,,,,,,,,2/16/2021
11,3,414.0,1.0,583.0,,,,19.0,,1.0,,,1.0,,,6.0,1.0,1.0,,,,,,2/17/2021
12,3,430.0,1.0,606.0,,,2.0,39.0,1.0,,,,,1.0,,5.0,,,,,,,,2/18/2021
13,3,417.0,1.0,600.0,,,1.0,49.0,2.0,2.0,,,,1.0,,15.0,,,1.0,,,,,2/19/2021
14,2,379.0,1.0,562.0,,,2.0,32.0,1.0,,3.0,,1.0,1.0,,10.0,,,,,1.0,,,2/20/2021
15,2,376.0,1.0,530.0,1,,,20.0,2.0,1.0,,,,1.0,,7.0,,,,,,1,,2/21/2021
16,3,366.0,1.0,512.0,,1.0,1.0,19.0,,,1.0,,,,,11.0,,,,,,,,2/22/2021
17,3,357.0,1.0,497.0,1,,,33.0,1.0,,2.0,,1.0,1.0,,10.0,,,,,,,,2/23/2021
18,3,351.0,1.0,484.0,1,,,27.0,,,,,,,,8.0,,,,,,1,,2/24/2021
19,2,327.0,1.0,460.0,1,,,16.0,,,,,,,,1.0,,,,,,,2.0,2/25/2021
20,2,312.0,1.0,453.0,,,1.0,13.0,,1.0,2.0,,,,,4.0,,,,,,1,,2/26/2021
21,2,306.0,1.0,448.0,,,2.0,33.0,,1.0,1.0,,,1.0,1.0,13.0,,,1.0,,,,,2/27/2021
22,2,313.0,1.0,453.0,,,2.0,21.0,1.0,1.0,,,,,,2.0,,,,,,,,2/28/2021
23,,,,,,,,,,,,,,,,,,,,,,,,3/1/2021
24,,,,,,,,,,,,,,,,,,,,,,,,3/2/2021
25,,,,,,,,,,,,,,,,,,,,,,,,3/3/2021
26,,,,,,,,,,,,,,,,,,,,,,,,3/4/2021
27,,,,,,,,,,,,,,,,,,,,,,,,3/5/2021
28,,,,,,,,,,,,,,,,,,,,,,,,3/6/2021
