,Daily Negative Feedback,Weekly Negative Feedback,28 Days Negative Feedback,Daily Negative Feedback From Users,Weekly Negative Feedback From Users,28 Days Negative Feedback From Users,Date
1,,1,1,,1,1,2/7/2021
2,,1,1,,1,1,2/8/2021
3,,1,1,,1,1,2/9/2021
4,,1,1,,1,1,2/10/2021
5,,1,1,,1,1,2/11/2021
6,,1,1,,1,1,2/12/2021
7,,,1,,,1,2/13/2021
8,,,1,,,1,2/14/2021
9,,,1,,,1,2/15/2021
10,,,1,,,1,2/16/2021
11,,,1,,,1,2/17/2021
12,,,1,,,1,2/18/2021
13,,,1,,,1,2/19/2021
14,,,1,,,1,2/20/2021
15,,,1,,,1,2/21/2021
16,,,1,,,1,2/22/2021
17,,,1,,,1,2/23/2021
18,1,1,2,1,1,2,2/24/2021
19,,1,2,,1,2,2/25/2021
20,,1,2,,1,2,2/26/2021
21,,1,2,,1,2,2/27/2021
22,,1,2,,1,2,2/28/2021
23,,1,2,,1,2,3/1/2021
24,,1,2,,1,2,3/2/2021
25,,,2,,,2,3/3/2021
26,,,2,,,2,3/4/2021
27,,,2,,,2,3/5/2021
28,,,1,,,1,3/6/2021
