,Daily Page Consumptions By Type - button clicks,Daily Page Consumptions By Type - link clicks,Daily Page Consumptions By Type - other clicks,Daily Page Consumptions By Type - photo view,Daily Page Consumptions By Type - video play,Weekly Page Consumptions By Type - button clicks,Weekly Page Consumptions By Type - link clicks,Weekly Page Consumptions By Type - other clicks,Weekly Page Consumptions By Type - photo view,Weekly Page Consumptions By Type - video play,28 Days Page Consumptions By Type - button clicks,28 Days Page Consumptions By Type - link clicks,28 Days Page Consumptions By Type - other clicks,28 Days Page Consumptions By Type - photo view,28 Days Page Consumptions By Type - video play,Date
1,0,10.0,16.0,2.0,2.0,0,170.0,768.0,64.0,26.0,0,857.0,6487.0,334.0,489.0,2/7/2021
2,0,5.0,8.0,1.0,2.0,0,134.0,717.0,28.0,25.0,0,828.0,6036.0,334.0,418.0,2/8/2021
3,0,29.0,49.0,4.0,1.0,0,159.0,403.0,18.0,17.0,0,841.0,5691.0,338.0,386.0,2/9/2021
4,0,3.0,11.0,0.0,1.0,0,161.0,304.0,13.0,16.0,0,818.0,4589.0,335.0,283.0,2/10/2021
5,0,1.0,3.0,1.0,5.0,0,160.0,287.0,13.0,16.0,0,800.0,4253.0,336.0,251.0,2/11/2021
6,0,2.0,6.0,1.0,2.0,0,153.0,277.0,14.0,14.0,0,789.0,3874.0,334.0,203.0,2/12/2021
7,0,0.0,3.0,0.0,1.0,0,50.0,96.0,9.0,14.0,0,766.0,3341.0,318.0,173.0,2/13/2021
8,0,34.0,23.0,0.0,12.0,0,74.0,103.0,7.0,24.0,0,784.0,2865.0,306.0,178.0,2/14/2021
9,0,6.0,28.0,0.0,1.0,0,75.0,123.0,6.0,23.0,0,769.0,2691.0,301.0,170.0,2/15/2021
10,0,5.0,14.0,19.0,1.0,0,51.0,88.0,21.0,23.0,0,763.0,2600.0,319.0,159.0,2/16/2021
11,0,7.0,4.0,6.0,3.0,0,55.0,81.0,27.0,25.0,0,746.0,2452.0,320.0,141.0,2/17/2021
12,0,43.0,194.0,8.0,5.0,0,97.0,272.0,34.0,25.0,0,785.0,2614.0,328.0,144.0,2/18/2021
13,0,37.0,128.0,8.0,5.0,0,132.0,394.0,41.0,28.0,0,791.0,2566.0,319.0,144.0,2/19/2021
14,0,12.0,34.0,5.0,1.0,0,144.0,425.0,46.0,28.0,0,801.0,2332.0,203.0,137.0,2/20/2021
15,0,1.0,26.0,7.0,0.0,0,111.0,428.0,53.0,16.0,0,661.0,2157.0,175.0,126.0,2/21/2021
16,0,1.0,6.0,1.0,4.0,0,106.0,406.0,54.0,19.0,0,540.0,1913.0,166.0,121.0,2/22/2021
17,0,1.0,8.0,1.0,3.0,0,102.0,400.0,36.0,21.0,0,420.0,1736.0,164.0,108.0,2/23/2021
18,0,8.0,70.0,58.0,0.0,0,103.0,466.0,88.0,18.0,0,412.0,1701.0,212.0,97.0,2/24/2021
19,0,1.0,11.0,8.0,5.0,0,61.0,283.0,88.0,18.0,0,405.0,1568.0,212.0,92.0,2/25/2021
20,0,0.0,4.0,1.0,0.0,0,24.0,159.0,81.0,13.0,0,382.0,1444.0,198.0,85.0,2/26/2021
21,0,41.0,17.0,3.0,10.0,0,53.0,142.0,79.0,22.0,0,411.0,1425.0,199.0,91.0,2/27/2021
22,0,19.0,41.0,8.0,3.0,0,71.0,157.0,80.0,25.0,0,426.0,1456.0,204.0,91.0,2/28/2021
23,0,28.0,62.0,1.0,1.0,0,98.0,213.0,80.0,22.0,0,413.0,1459.0,168.0,89.0,3/1/2021
24,0,79.0,197.0,1.0,89.0,0,176.0,402.0,80.0,108.0,0,488.0,1293.0,155.0,169.0,3/2/2021
25,0,82.0,77.0,11.0,13.0,0,250.0,409.0,33.0,121.0,0,569.0,1260.0,161.0,180.0,3/3/2021
26,0,53.0,106.0,3.0,4.0,0,302.0,504.0,28.0,120.0,0,620.0,1346.0,163.0,179.0,3/4/2021
27,0,48.0,87.0,6.0,6.0,0,350.0,587.0,33.0,126.0,0,659.0,1417.0,169.0,181.0,3/5/2021
28,0,12.0,19.0,2.0,20.0,0,321.0,589.0,32.0,136.0,0,568.0,1252.0,166.0,200.0,3/6/2021
