,Daily Reach Of Page Posts,Weekly Reach Of Page Posts,28 Days Reach Of Page Posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Viral Reach Of Page Posts,Weekly Viral Reach Of Page Posts,28 Days Viral Reach Of Page Posts,Date
1,918,8855,31908,918,8855,31908,,,,813,6408,28265,2/7/2021
2,553,8778,31353,553,8778,31353,,,,489,6404,27653,2/8/2021
3,2240,7712,30964,2240,7712,30964,,,,1679,6329,27266,2/9/2021
4,615,7231,28813,615,7231,28813,,,,547,6065,25055,2/10/2021
5,439,7180,28421,439,7180,28421,,,,407,6058,24372,2/11/2021
6,446,7156,27776,446,7156,27776,,,,414,6041,23875,2/12/2021
7,253,4775,26328,253,4775,26328,,,,236,4127,22563,2/13/2021
8,1372,4837,25275,1372,4837,25275,,,,791,4082,21555,2/14/2021
9,1370,5749,25016,1370,5749,25016,,,,1247,4980,21151,2/15/2021
10,1472,5327,25008,1472,5327,25008,,,,1370,4674,21124,2/16/2021
11,612,5252,24544,612,5252,24544,,,,557,4635,20581,2/17/2021
12,18556,22161,38724,18556,22161,38724,,,,2424,5957,20591,2/18/2021
13,14080,33458,48838,14080,33458,48838,,,,2484,6890,20438,2/19/2021
14,5361,37520,52498,5361,37520,52498,,,,683,7186,19838,2/20/2021
15,1679,37692,51614,1679,37692,51614,,,,1202,7372,19032,2/21/2021
16,535,36960,50965,535,36960,50965,,,,485,6655,18180,2/22/2021
17,392,36886,49935,392,36886,49935,,,,353,6279,17130,2/23/2021
18,1775,36904,49604,1775,36904,49604,,,,577,6128,16403,2/24/2021
19,414,21406,49024,414,21406,49024,,,,270,5124,15850,2/25/2021
20,310,8994,48336,310,8994,48336,,,,242,3340,15109,2/26/2021
21,1074,4235,46417,1074,4235,46417,,,,359,3014,14813,2/27/2021
22,6439,8719,50051,6439,8719,50051,,,,2659,4127,15030,2/28/2021
23,17894,26287,62666,17894,26287,62666,,,,1408,5186,15903,3/1/2021
24,8096,32855,67116,8096,32855,67116,,,,2301,6384,16155,3/2/2021
25,7657,35441,69265,7657,35441,69265,,,,1951,7027,15984,3/3/2021
26,14070,44766,76457,14070,44766,76457,,,,3045,8574,16834,3/4/2021
27,14323,52929,83396,14323,52929,83396,,,,2549,9124,17079,3/5/2021
28,2282,53225,83380,2282,54070,83380,,,,700,9118,16354,3/6/2021
