,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views.1,Weekly Logged-in Page Views.1,Date
1,36,553,24,253,2/7/2021
2,35,508,25,230,2/8/2021
3,55,438,34,200,2/9/2021
4,44,411,21,184,2/10/2021
5,27,395,16,180,2/11/2021
6,40,344,26,184,2/12/2021
7,14,251,12,148,2/13/2021
8,89,304,45,167,2/14/2021
9,59,328,36,175,2/15/2021
10,43,316,28,170,2/16/2021
11,53,325,23,170,2/17/2021
12,69,367,43,197,2/18/2021
13,131,458,61,227,2/19/2021
14,84,528,44,247,2/20/2021
15,55,494,26,234,2/21/2021
16,79,514,31,226,2/22/2021
17,69,540,43,236,2/23/2021
18,57,544,33,243,2/24/2021
19,26,501,18,217,2/25/2021
20,28,398,18,179,2/26/2021
21,109,423,47,179,2/27/2021
22,45,413,23,182,2/28/2021
23,,,,,3/1/2021
24,,,,,3/2/2021
25,,,,,3/3/2021
26,,,,,3/4/2021
27,,,,,3/5/2021
28,,,,,3/6/2021
